ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,3,0,3,4,7,2,4,2,4,2,1,1,5,6,2,4,2,3,5,4,6,0,8,2,0,3,0,5,2,3,6,1,9,3,2,3
1,0,3,1,2,4,5,1,3,2,5,3,1,1,5,6,2,5,2,3,6,4,6,1,8,1,0,3,0,6,3,4,6,1,8,2,2
2,6,0,3,1,2,4,5,1,3,2,1,4,2,0,4,7,1,4,2,3,7,4,6,1,8,1,0,3,0,6,7,6,6,1,8,2
3,3,5,1,3,1,1,4,5,1,3,2,0,3,3,0,4,6,0,4,2,3,8,3,6,0,8,1,0,4,1,3,8,5,6,0,8
4,4,4,5,1,3,1,1,4,6,1,5,2,0,3,2,0,4,5,0,4,2,3,9,3,6,0,9,1,1,4,2,3,9,5,6,0
5,1,4,3,5,1,3,1,1,5,5,1,5,3,1,3,2,1,4,5,0,4,3,3,9,4,5,0,8,2,3,3,3,3,8,6,5
6,2,3,4,3,6,1,3,1,1,4,5,0,5,3,0,3,2,1,4,5,0,4,3,3,9,4,5,0,8,1,0,4,3,3,8,6
7,2,1,3,5,3,5,1,3,1,2,4,5,0,5,3,2,3,2,1,5,5,0,4,3,3,9,3,5,0,8,5,0,3,3,3,8
8,4,2,1,3,4,3,5,1,2,3,4,4,5,0,4,2,2,3,2,1,6,5,0,3,3,4,9,3,4,0,6,6,0,3,3,4
9,6,4,2,1,4,4,2,5,1,2,5,4,4,5,0,4,2,3,2,2,1,7,6,0,7,3,5,9,4,4,0,6,6,0,6,3
10,5,8,4,2,3,4,4,3,4,1,2,5,4,4,5,0,3,2,5,2,2,1,7,6,0,6,3,5,9,5,2,1,7,6,0,5
11,2,5,7,4,2,1,5,4,2,4,1,3,5,4,4,5,0,2,2,6,3,3,1,7,6,0,6,2,6,9,3,3,1,7,6,0
12,1,2,5,6,4,3,1,3,4,3,3,1,3,5,4,4,5,0,2,2,7,3,3,1,7,6,0,7,2,6,7,4,3,1,7,6
13,8,1,2,5,6,4,2,2,3,4,3,3,1,3,3,4,4,5,0,2,2,6,4,3,1,7,6,0,6,3,2,5,4,3,1,7
14,4,8,2,2,5,6,5,3,2,3,5,3,3,1,2,3,4,4,5,0,2,2,5,4,3,1,7,5,0,7,1,2,5,4,3,1
15,3,6,8,3,2,5,6,4,2,2,4,5,3,3,1,2,3,4,3,5,0,3,2,5,3,2,1,6,4,0,2,2,2,5,4,3
16,4,3,7,7,2,2,5,6,5,2,3,4,5,3,3,2,2,2,4,3,5,0,2,2,5,3,2,1,5,4,5,2,2,2,5,4
17,2,5,3,6,7,2,4,5,6,4,3,3,4,6,3,3,2,2,2,4,3,5,1,2,1,3,3,3,1,6,3,6,2,2,2,4
18,5,4,6,3,7,7,2,5,5,6,5,3,3,4,6,3,3,2,2,2,4,3,6,1,2,1,3,4,4,1,3,3,6,2,2,2
19,7,4,3,5,3,6,7,2,4,6,7,4,5,3,4,6,3,3,2,2,1,4,3,6,1,2,1,3,5,4,1,3,3,5,2,2
20,6,5,4,3,4,5,6,8,4,5,7,7,4,6,5,4,6,3,5,2,2,1,5,3,5,0,2,1,5,5,2,1,4,3,5,2
21,3,7,6,3,3,4,5,6,8,2,5,6,8,4,6,5,3,6,3,5,2,2,1,6,3,5,0,2,2,5,2,2,1,5,3,5
22,4,4,7,4,4,2,6,7,7,8,2,6,6,8,4,6,4,4,6,2,5,2,2,1,6,3,5,1,1,2,5,3,2,1,5,3
23,8,5,8,7,4,4,2,5,6,7,9,2,5,4,9,5,6,3,3,6,1,5,3,2,2,5,5,4,2,2,1,5,2,2,2,5
24,5,8,5,5,7,3,4,3,5,8,7,8,3,5,2,9,6,6,3,3,7,2,5,2,1,3,5,5,5,3,7,3,5,2,1,2
25,2,4,7,5,7,6,3,3,3,5,9,8,6,3,5,2,7,6,6,3,3,8,1,6,2,4,3,5,4,5,3,7,2,5,1,3
26,3,2,3,7,6,6,7,3,2,3,5,9,6,6,4,6,4,8,6,6,3,3,9,2,5,3,4,3,4,4,2,4,9,3,4,1
27,2,2,1,3,7,3,8,5,3,3,4,4,9,8,5,4,6,4,6,6,6,3,4,10,4,3,4,4,2,4,6,3,4,9,4,3
28,4,4,2,2,3,7,3,8,5,3,4,4,4,8,7,4,6,6,5,6,6,6,5,4,12,3,3,4,5,4,6,6,3,4,10,4
29,6,5,3,1,1,3,7,4,10,5,4,3,4,4,8,6,4,6,6,4,6,7,7,5,4,9,4,2,5,4,6,6,7,3,4,8
30,2,6,4,3,1,2,3,8,4,10,7,3,6,4,4,9,6,4,6,7,5,6,8,6,3,3,8,3,3,2,5,7,8,6,2,3
31,2,3,6,3,4,1,2,3,6,5,13,6,3,6,4,5,8,6,4,6,8,4,7,9,6,4,3,5,5,4,7,4,8,8,6,2
32,2,4,4,6,4,4,1,2,4,6,6,13,6,3,6,4,4,7,8,4,3,11,4,8,9,5,3,3,5,4,4,8,5,8,8,4
33,6,2,2,4,6,5,4,1,1,4,6,6,13,6,3,6,6,4,6,8,4,2,11,4,7,10,4,4,5,4,5,3,8,6,8,9
34,2,6,2,2,3,6,3,3,2,1,4,6,7,12,8,3,6,5,5,7,9,4,1,10,3,8,12,3,3,4,9,6,3,8,5,8
35,2,3,6,2,3,4,6,2,3,2,2,5,6,8,12,8,3,7,6,5,8,7,6,1,10,5,8,13,2,4,8,8,6,3,8,7
36,0,4,3,7,1,3,4,6,2,3,3,2,6,6,6,11,7,3,5,6,4,8,6,6,1,11,5,8,12,2,4,8,8,6,3,8
37,7,0,3,3,6,0,3,4,7,2,4,3,2,6,6,6,9,7,3,5,7,4,9,6,7,1,10,6,7,11,7,4,9,8,7,3
38,0,7,0,2,3,6,0,2,4,6,3,4,2,2,7,6,7,8,5,3,5,7,4,9,6,7,2,9,5,6,4,8,5,8,8,7
39,2,0,7,0,2,2,6,1,2,4,6,6,4,2,2,7,6,6,7,5,3,6,9,5,10,9,6,2,8,6,2,5,9,5,9,9
40,5,3,0,7,0,2,2,6,1,2,5,6,6,4,2,2,7,7,7,8,5,5,6,10,4,9,10,5,2,7,5,4,5,9,5,9
41,5,6,3,1,7,0,1,3,6,2,3,5,6,5,3,3,1,5,6,7,8,6,5,6,9,5,9,9,5,2,8,6,6,5,8,6
42,6,5,7,3,1,7,1,2,2,7,2,3,5,6,5,3,3,0,5,6,6,8,7,6,6,9,5,9,10,7,8,6,6,6,5,9
43,8,6,5,6,2,1,7,0,2,3,7,2,3,5,7,4,4,3,0,3,5,6,8,7,8,5,10,4,9,10,6,6,7,6,8,5
44,6,7,6,5,6,2,0,6,0,3,3,7,2,4,6,7,4,6,2,1,4,5,5,8,7,8,5,10,4,9,5,6,6,7,7,8
45,6,6,6,7,7,6,3,2,6,0,3,4,9,3,4,6,7,5,6,2,1,4,5,4,7,7,7,5,9,6,2,5,6,6,6,6
46,4,6,6,7,7,6,6,2,3,5,1,3,4,9,1,5,6,7,5,6,3,1,4,5,4,7,5,7,5,9,3,2,5,6,6,6
