ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,5,5,4,3,1,2,1,2,None,1,5,None,4,None,None,1,None,None,1,1,3,None,2,2,2,1,3,3,5,1,3,None,2,2,2,1
1,6,2,6,4,2,2,2,None,2,None,1,5,None,3,None,None,1,None,None,1,1,3,1,2,2,2,1,3,3,5,1,3,1,2,2,2
2,1,6,2,4,5,1,1,2,None,2,1,1,5,None,4,None,None,1,None,None,1,2,3,1,2,3,2,1,3,3,1,1,3,1,2,2
3,2,1,5,3,3,4,1,3,2,None,1,1,1,5,None,4,None,None,1,None,None,1,2,3,1,2,2,2,1,3,None,1,1,3,1,2
4,3,1,None,5,3,3,3,1,2,2,None,None,1,1,5,None,3,1,None,None,None,2,1,2,3,1,2,2,2,1,None,2,1,1,3,1
5,3,3,2,3,6,3,4,3,2,2,1,None,None,1,1,5,None,3,1,None,None,1,2,1,2,3,1,2,2,2,None,1,2,1,1,3
6,None,3,3,1,2,5,3,3,3,1,1,None,None,None,1,1,4,None,3,1,None,None,1,2,1,2,3,1,2,2,None,None,1,2,1,1
7,9,None,3,3,1,3,5,2,3,3,2,1,3,None,None,None,1,4,None,3,1,None,None,1,2,1,2,3,1,3,1,None,None,1,2,1
8,2,8,None,3,3,2,2,6,2,2,4,2,1,3,None,None,None,1,3,None,3,1,None,None,1,2,1,2,3,1,3,1,None,None,1,2
9,None,2,8,1,3,2,1,2,5,2,2,4,2,1,3,None,1,None,1,3,None,4,1,None,None,1,2,1,2,3,1,3,1,None,None,1
10,5,None,2,8,1,3,1,1,2,5,2,2,4,2,1,3,None,2,None,None,3,None,4,1,None,None,1,2,1,1,3,1,3,1,None,None
11,1,3,None,1,8,3,3,1,1,2,4,2,2,5,2,1,3,None,1,None,None,3,None,3,1,None,None,1,2,1,None,3,1,1,1,None
12,1,None,3,None,None,9,1,3,1,1,3,4,1,2,6,2,1,3,1,2,None,None,3,None,3,None,None,None,1,2,None,None,3,1,1,None
13,4,None,1,3,None,None,8,1,3,1,1,3,4,1,2,6,2,1,3,1,2,None,None,3,None,3,None,None,None,1,2,None,None,3,None,2
14,5,4,None,None,3,None,None,8,1,4,2,1,3,5,1,2,6,2,1,3,1,4,None,None,3,None,3,None,None,1,1,3,None,None,3,None
15,3,5,4,None,None,4,None,None,8,3,4,2,1,3,5,1,2,6,2,1,3,1,4,None,None,3,None,3,None,None,2,1,3,None,None,3
16,4,3,5,5,None,None,4,None,None,8,2,3,2,1,5,5,1,2,6,2,3,3,1,3,None,None,3,None,1,None,2,2,1,None,None,None
17,6,4,3,6,4,None,None,4,None,1,10,2,3,2,1,5,6,None,2,5,2,3,3,1,3,None,None,2,None,1,2,2,2,1,3,None
18,8,5,4,3,5,2,None,None,4,None,1,10,2,3,3,1,5,6,None,2,4,2,3,2,1,3,None,None,2,None,4,2,2,2,1,3
19,4,8,7,3,3,5,2,1,None,4,2,1,10,2,3,3,1,5,6,None,2,4,2,3,2,1,2,None,None,3,2,4,2,2,2,1
20,5,5,8,3,3,4,5,3,None,None,5,2,1,8,2,3,3,1,5,5,None,3,4,2,3,2,1,2,None,None,None,3,4,2,2,2
21,2,4,6,7,3,3,4,6,4,None,1,4,2,1,8,2,3,3,1,5,4,None,3,4,2,3,2,1,2,None,4,None,3,4,2,2
22,3,2,2,6,7,4,3,3,5,5,None,None,4,2,1,9,3,3,3,1,4,3,None,3,4,2,4,2,1,1,2,3,None,3,4,2
23,8,3,3,2,6,7,5,2,3,5,7,None,None,4,2,1,9,3,3,2,1,4,3,None,3,4,2,5,2,1,2,2,3,None,3,3
24,3,9,3,3,2,5,6,6,2,3,6,7,None,1,3,2,2,9,3,3,2,None,6,3,None,3,4,3,4,2,2,1,3,3,None,3
25,6,1,8,4,3,2,5,7,5,3,4,6,7,None,1,3,2,2,9,3,3,2,None,5,3,None,3,4,3,5,2,2,1,2,3,None
