ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,3,2,2,2,1,3,2,4,3,3,2,None,4,3,2,3,2,None,2,2,6,None,None,1,3,None,3,None,None,2,6,None,None,1,3,None
1,3,3,2,1,2,2,3,2,3,3,2,2,None,4,3,2,3,2,None,1,2,5,None,None,1,3,None,3,None,None,1,5,None,None,1,3
2,3,3,3,2,1,2,2,3,2,2,1,3,2,None,3,3,2,3,2,None,1,2,4,None,None,1,3,None,3,None,1,2,5,None,None,1
3,3,3,3,3,1,1,2,2,4,1,1,1,2,2,1,2,3,2,3,3,None,1,2,4,None,None,1,4,None,3,None,1,2,5,None,None
4,2,4,3,3,3,2,1,2,1,3,1,1,1,2,2,1,2,3,2,3,3,None,1,2,4,None,None,1,4,None,3,None,1,2,5,None
5,4,2,4,3,2,4,1,1,2,1,2,2,None,1,2,2,1,2,3,2,2,3,None,1,2,4,None,None,1,3,1,3,None,1,2,4
6,4,4,2,3,3,2,3,1,1,2,1,1,2,None,1,1,1,1,2,3,2,2,4,None,1,2,4,None,None,1,2,1,3,None,1,2
7,1,4,4,None,3,3,2,3,1,1,1,1,1,4,None,1,1,1,1,3,4,2,1,2,None,1,1,4,None,None,5,2,1,2,None,1
8,2,None,3,6,None,2,3,2,3,1,3,3,1,1,4,None,1,1,1,1,3,4,2,1,2,None,1,1,4,None,3,5,2,1,2,None
9,5,2,None,3,5,None,2,3,2,3,1,2,3,1,1,3,None,3,2,1,1,3,4,2,1,2,None,1,1,4,1,2,5,2,2,2
10,2,4,2,None,3,5,None,2,3,2,4,1,2,3,1,2,3,None,3,2,1,1,3,4,2,1,2,None,1,1,1,1,2,5,1,1
11,2,1,4,2,None,3,5,None,2,3,2,5,1,2,3,1,2,3,None,3,2,1,1,3,4,2,1,2,None,1,2,1,1,2,5,2
12,2,None,1,5,2,None,3,4,None,2,3,2,5,1,2,2,1,2,3,None,3,2,1,1,3,4,2,1,1,None,2,2,1,1,3,5
13,4,2,1,1,6,2,None,3,4,None,3,3,2,5,1,None,2,1,2,3,1,3,2,1,1,3,4,2,1,1,None,2,2,1,1,3
14,6,3,2,None,1,6,2,None,3,4,1,3,3,2,5,1,None,2,2,2,3,2,3,1,1,1,3,4,2,1,3,1,2,1,1,1
15,3,5,3,2,1,1,7,2,None,3,4,1,None,3,2,5,2,None,2,2,2,3,2,3,1,1,1,3,4,2,2,3,1,2,1,1
16,None,3,5,3,2,1,1,6,2,None,3,4,1,None,3,2,5,2,1,2,1,3,3,2,3,1,1,1,3,4,2,2,3,1,2,1
17,12,None,3,5,3,2,2,1,6,2,1,3,4,1,None,3,1,5,3,1,2,1,3,2,2,3,1,1,1,2,3,2,2,2,2,2
18,2,11,None,4,6,3,2,1,1,5,3,4,3,4,1,2,3,1,5,3,2,2,3,3,2,1,3,1,1,1,3,3,3,2,3,1
19,5,2,10,None,4,6,1,1,1,1,7,3,4,3,4,1,1,3,1,5,3,2,1,3,3,2,1,4,1,1,1,3,3,3,3,2
20,6,5,2,11,None,4,7,1,1,1,2,7,4,4,4,4,1,1,4,1,5,3,2,1,3,3,2,1,3,1,5,1,3,3,1,3
21,2,7,3,2,11,None,4,6,1,4,2,2,6,4,4,5,4,1,1,4,1,5,4,1,None,2,3,2,1,3,2,5,1,2,1,2
22,4,2,6,4,2,9,None,4,5,None,4,1,1,6,4,4,3,4,None,None,3,2,5,3,1,None,2,3,2,1,4,2,4,1,2,1
23,5,4,2,8,1,2,10,None,4,7,1,4,1,1,6,2,4,4,4,None,1,3,2,5,3,1,2,2,2,2,1,4,2,4,3,1
24,2,4,3,3,7,1,2,10,None,4,9,1,4,3,2,6,2,4,4,4,1,1,2,2,5,1,1,2,2,2,1,1,4,2,3,1
25,3,2,4,3,1,8,1,2,10,None,5,10,1,4,3,3,6,3,3,5,3,1,None,2,2,4,2,2,2,2,1,1,1,3,2,4
26,3,4,2,4,4,1,7,1,2,9,None,5,8,1,5,3,2,5,3,2,3,2,1,None,2,2,4,2,1,2,3,1,1,1,3,2
27,3,2,3,2,5,2,1,7,1,2,11,None,4,7,None,5,3,2,4,3,2,2,1,None,1,1,2,5,2,1,1,3,1,1,1,2
