ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,5,6,2,2,3,2,1,None,1,3,3,5,6,5,3,4,2,4,6,2,4,2,4,3,4,1,3,3,4,5,4,2,5,3,5,1
1,5,5,6,3,1,3,2,1,1,1,2,3,6,5,5,3,4,2,5,5,1,4,3,3,3,6,1,3,3,4,None,4,3,4,4,6
2,4,4,2,6,3,1,3,2,1,1,2,2,3,4,5,5,4,4,2,5,5,None,4,3,3,5,6,1,3,3,5,1,4,2,4,4
3,6,3,5,2,5,1,1,4,1,1,1,2,1,1,4,6,5,4,4,2,5,5,2,3,2,5,3,6,1,4,5,5,2,3,2,5
4,3,6,3,4,2,5,1,1,3,1,2,1,2,2,2,4,6,4,4,4,3,4,4,2,3,2,4,3,5,1,3,4,4,2,3,2
5,1,3,6,3,5,2,5,1,2,3,1,2,1,2,2,2,4,6,4,5,4,3,4,5,2,3,3,4,3,5,4,3,5,5,2,3
6,7,1,4,6,4,4,2,5,1,1,3,1,2,1,2,2,2,3,5,4,5,4,3,4,5,2,2,3,4,3,5,4,3,5,5,2
7,4,8,None,3,6,3,4,2,5,1,1,3,2,1,1,2,2,1,3,5,4,4,4,3,4,5,2,2,3,4,4,4,4,3,5,5
8,9,4,8,None,3,6,3,5,2,5,1,1,3,2,1,1,1,2,None,3,5,4,4,4,3,5,5,2,2,3,5,4,4,4,3,6
9,6,10,4,8,None,3,6,4,5,3,6,1,1,3,2,1,1,2,2,None,3,6,5,4,4,3,5,5,1,2,3,6,4,4,4,3
10,5,5,9,5,8,None,3,6,5,5,3,6,1,2,3,2,None,1,2,2,None,3,6,4,4,4,3,5,3,1,None,3,6,4,4,4
11,4,5,5,10,5,8,None,2,6,4,5,3,6,1,2,3,2,None,1,2,2,1,3,6,4,5,4,2,5,3,2,1,3,6,4,5
12,1,4,6,4,10,6,8,1,2,6,3,3,3,7,1,2,3,2,None,1,2,2,1,3,6,4,5,4,2,4,2,2,1,3,6,4
13,6,1,4,6,5,10,6,8,None,3,6,3,4,3,7,1,2,3,2,1,1,2,3,1,3,6,4,5,4,2,1,2,2,1,3,6
14,2,6,1,6,6,5,10,6,8,None,3,6,3,4,3,7,1,2,3,2,1,2,2,3,1,3,6,4,5,4,1,2,2,2,1,3
15,3,2,6,2,6,7,5,10,5,8,1,3,6,3,4,3,7,1,2,3,2,1,2,2,1,1,3,6,4,5,2,1,2,2,1,1
16,8,3,2,8,3,5,7,6,10,5,7,2,3,4,3,7,3,7,1,2,3,2,2,2,2,1,1,3,6,4,3,2,1,2,2,1
17,1,7,3,2,8,2,5,7,7,10,5,7,2,3,4,3,6,2,7,1,3,3,2,2,2,2,1,1,3,6,3,3,2,1,2,2
18,3,1,7,3,2,7,2,5,6,7,11,5,7,2,3,5,3,6,2,8,1,4,3,2,2,2,2,1,1,3,1,4,3,2,1,2
19,5,2,1,7,3,2,7,2,5,6,6,10,5,8,2,3,7,3,6,2,8,1,4,3,2,2,2,2,1,1,8,1,4,3,2,1
20,3,5,2,1,7,3,2,7,1,5,7,6,11,5,8,2,2,5,3,5,3,8,2,4,3,2,2,2,2,1,4,8,2,4,3,2
21,2,2,5,2,None,8,3,2,6,2,5,6,5,11,6,8,2,2,5,3,5,3,8,1,3,3,2,2,2,3,4,4,8,1,3,3
22,4,2,3,7,1,None,7,3,4,5,2,6,6,4,9,7,8,2,2,5,3,5,3,8,2,3,4,2,2,3,4,4,4,8,2,3
23,2,4,3,3,7,2,1,8,4,4,6,2,7,4,4,9,6,8,2,2,5,3,5,3,8,2,3,4,2,2,5,4,4,3,8,2
24,10,2,4,2,3,5,2,1,8,4,6,7,2,8,5,5,9,6,9,2,2,5,4,4,2,8,1,3,4,2,2,5,5,4,2,8
25,5,8,1,5,2,3,5,1,None,8,5,6,7,3,7,5,5,11,6,9,2,2,6,4,4,3,8,1,3,3,2,2,6,5,4,3
26,None,6,7,1,6,2,3,4,1,4,11,5,6,5,4,7,5,5,11,6,8,1,2,6,2,6,2,7,1,3,7,2,2,6,3,6
27,5,1,4,8,1,5,None,3,4,2,4,10,4,6,5,2,7,4,5,11,5,8,2,2,6,4,6,2,7,1,5,7,2,2,6,4
28,2,5,1,3,7,1,6,1,3,4,4,5,10,4,6,5,3,7,7,6,11,4,9,2,2,10,4,6,3,7,10,4,8,2,2,8
29,6,2,4,1,2,7,1,5,1,2,5,5,5,10,4,6,5,3,7,7,6,11,4,10,2,2,10,4,5,3,7,10,4,9,2,2
30,4,6,2,3,1,3,8,1,4,2,4,6,6,4,10,6,7,5,3,7,8,6,11,4,9,2,2,9,4,5,8,7,11,4,8,2
31,10,5,6,2,3,2,3,7,1,4,3,None,6,6,4,9,6,7,5,3,8,7,6,13,4,9,5,2,6,4,8,7,7,13,4,8
32,6,9,6,6,2,4,2,2,7,1,4,2,None,7,6,4,9,5,5,5,3,8,6,9,14,5,10,5,2,6,3,8,7,8,13,5
33,4,8,8,5,5,2,4,3,3,7,None,2,2,None,7,6,5,8,5,5,6,2,8,5,7,13,5,8,4,2,7,2,8,7,7,13
34,3,4,7,8,5,5,2,5,3,2,8,None,2,1,1,7,5,5,8,4,5,6,2,8,5,8,13,4,7,4,5,7,3,8,7,8
35,9,4,5,8,8,5,5,2,5,3,2,8,None,4,1,2,6,4,4,8,4,6,6,1,8,9,6,15,4,7,4,6,7,2,9,9
36,7,8,4,5,8,8,5,6,2,6,4,2,8,None,4,1,3,5,4,3,8,4,6,7,2,9,9,5,14,6,8,4,6,7,3,10
37,10,6,9,5,7,8,8,5,5,2,5,4,2,7,None,5,1,3,6,3,3,8,5,8,7,2,9,8,5,14,3,8,5,7,7,3
38,7,10,6,10,4,7,8,8,6,6,3,5,4,3,9,None,6,2,4,6,4,3,8,5,8,6,2,8,7,6,5,3,8,5,7,6
39,1,6,11,5,9,5,6,9,9,5,6,3,5,4,3,8,None,5,2,5,6,4,3,8,4,8,6,2,8,7,7,5,3,8,4,8
40,4,1,6,11,5,8,5,6,8,8,5,6,5,4,4,2,8,None,6,2,5,5,6,3,8,4,8,6,1,8,5,6,6,3,8,4
41,3,4,1,5,11,6,8,4,6,8,9,4,6,5,4,4,2,5,2,8,2,5,4,6,3,9,4,8,6,1,1,5,5,6,3,9
42,4,2,6,1,6,10,5,9,4,6,10,9,4,6,5,4,4,2,5,3,8,3,5,4,5,3,9,4,8,6,8,2,5,5,5,3
43,1,3,3,4,3,5,12,5,7,4,7,10,10,3,7,4,4,4,2,5,3,8,3,5,4,5,3,9,4,8,2,8,2,5,5,5
44,2,1,3,3,5,2,6,12,5,7,5,7,10,10,3,7,4,3,4,3,5,4,7,1,5,3,6,3,9,5,5,3,7,1,5,4
45,3,2,2,3,5,4,2,5,11,5,7,5,7,10,10,3,7,4,3,4,4,5,3,6,1,5,3,6,3,9,4,5,3,7,1,5
46,5,3,2,None,3,5,4,2,5,11,5,7,5,7,10,11,3,7,3,3,4,4,5,3,6,1,5,3,6,3,4,4,5,3,7,1
47,4,4,3,3,None,3,5,4,3,5,12,4,7,5,5,10,11,5,6,3,4,4,3,5,1,6,1,5,2,6,4,4,3,5,2,7
48,1,4,3,3,4,1,3,3,4,2,5,12,4,7,5,5,10,11,5,6,3,4,3,3,5,3,5,1,5,4,3,4,4,3,5,3
49,3,None,4,3,3,3,1,3,3,4,3,5,10,4,5,5,5,9,10,5,5,3,4,4,4,5,3,5,1,5,5,3,4,5,4,5
50,4,3,None,5,3,3,3,1,3,3,5,3,5,10,4,5,5,5,6,10,5,5,3,4,4,4,5,3,5,1,5,5,3,4,5,4
51,3,3,3,None,5,3,3,3,1,4,4,5,2,4,10,4,5,5,5,6,10,5,5,3,4,4,4,4,3,5,9,5,5,3,4,5
52,4,4,4,3,None,5,3,2,3,1,4,4,5,2,4,10,4,5,5,6,6,11,5,5,3,4,4,4,4,3,6,10,5,5,3,4
53,3,5,4,3,3,1,6,4,2,4,2,4,4,5,2,4,10,4,5,5,6,6,11,5,5,3,4,4,4,5,6,6,10,5,5,3
54,2,2,4,4,4,3,1,6,3,3,4,1,4,4,5,2,4,10,4,5,5,6,6,12,5,5,3,4,4,4,5,6,6,11,5,5
55,1,1,2,4,4,3,4,2,6,3,3,4,1,4,4,5,1,3,10,5,6,5,6,6,12,5,5,3,4,4,7,5,6,6,11,5
56,3,1,1,2,4,4,3,3,None,6,4,3,4,1,4,4,5,1,3,10,5,6,6,6,6,12,4,5,3,4,5,7,5,6,6,11
57,2,3,1,1,2,4,5,3,3,None,5,4,3,4,1,4,4,5,1,3,11,5,6,6,6,7,12,4,5,3,13,5,7,5,6,7
58,1,2,3,1,1,2,4,5,3,3,1,5,4,3,4,1,4,4,5,1,3,11,5,6,6,6,7,13,4,5,4,10,5,7,5,6
59,3,1,2,3,1,1,2,4,5,4,3,1,6,4,3,5,1,4,4,5,1,3,10,5,6,6,6,7,13,4,1,4,10,5,7,5
60,5,3,None,2,3,1,1,1,4,5,4,3,1,5,4,3,5,1,3,3,6,1,3,10,5,8,5,6,7,13,5,1,4,10,5,8
61,2,5,3,1,2,3,1,1,1,5,6,4,3,1,5,4,3,5,1,3,3,6,1,5,10,5,7,5,6,7,3,5,1,5,10,5
62,7,3,8,5,1,3,3,1,1,1,5,6,4,2,1,5,4,3,5,1,3,3,6,1,5,10,6,7,5,6,3,3,5,1,5,10
63,4,7,2,5,3,None,2,4,3,1,2,5,6,4,2,1,5,4,2,4,1,3,3,6,1,4,10,6,7,4,1,3,3,5,1,4
64,1,3,6,2,7,3,None,3,3,1,1,2,4,6,4,2,1,6,4,2,4,1,3,3,6,1,4,11,6,7,4,1,3,3,5,1
65,None,None,3,6,3,5,3,None,2,3,1,1,2,4,6,4,2,1,7,4,2,4,1,3,3,4,2,5,11,6,2,4,1,3,3,4
66,5,None,None,3,6,2,5,3,None,2,3,1,1,2,4,6,4,1,1,5,3,2,4,1,3,3,4,2,5,11,3,2,4,1,3,3
67,2,5,None,None,3,6,2,5,3,None,3,3,1,1,2,4,6,4,1,1,4,3,2,4,1,2,3,4,2,4,4,3,2,4,1,2
68,2,2,6,1,None,1,6,2,4,4,1,3,3,1,1,3,4,5,4,1,1,4,3,2,4,1,2,3,4,2,1,4,3,2,4,1
69,1,1,2,5,None,None,1,6,2,4,4,None,3,3,1,1,2,4,5,4,1,1,4,3,2,4,1,2,3,4,1,1,4,3,2,4
70,None,2,1,3,6,None,None,None,6,2,4,4,None,3,3,1,1,3,2,5,5,1,1,4,3,2,4,1,2,3,5,1,1,4,3,2
71,4,None,2,1,3,5,None,None,None,6,None,4,4,None,3,3,1,1,3,4,5,5,1,1,4,3,2,4,1,2,5,5,1,1,4,3
72,4,2,None,2,1,3,5,1,None,None,6,None,4,4,None,3,3,1,1,3,3,5,5,1,1,4,3,2,4,1,3,5,5,1,1,4
