ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,16,25,17,25,15,14,17,14,13,19,18,12,18,15,12,15,10,9,6,18,11,15,11,10,16,15,11,15,7,20,11,15,11,10,16,15
1,19,16,24,16,24,17,13,16,14,11,19,21,12,18,15,11,14,11,9,5,18,10,16,11,10,17,14,10,14,8,18,10,15,12,10,17
2,14,17,18,23,17,25,16,11,19,14,11,20,22,12,19,15,11,14,11,9,6,18,9,16,13,10,16,15,9,13,6,18,10,15,13,10
3,34,14,18,18,22,15,24,17,11,16,12,13,20,22,13,19,15,9,14,11,9,5,18,11,16,14,10,15,15,9,9,5,18,11,15,14
4,28,33,15,17,19,23,15,24,17,11,15,12,13,20,21,12,20,15,10,15,12,9,6,18,11,16,14,10,15,15,12,9,6,18,11,15
5,30,28,33,15,18,17,23,17,22,17,11,15,12,13,20,22,13,20,15,10,15,12,9,6,19,11,16,13,10,15,15,12,9,6,19,11
6,25,30,29,31,15,18,17,23,16,22,17,11,15,14,12,20,21,13,19,15,10,15,11,9,6,19,11,16,13,11,10,15,11,9,6,19
7,26,25,30,29,31,17,18,16,24,18,22,18,11,15,14,12,19,21,13,19,15,10,14,11,9,6,18,11,15,13,15,10,14,11,9,6
8,20,26,26,28,30,30,15,17,17,24,18,23,18,11,16,14,12,19,21,13,19,15,10,15,11,9,6,18,11,15,18,15,10,15,11,9
9,33,22,27,26,27,35,30,14,19,15,23,19,23,18,11,17,16,12,20,21,13,20,15,9,14,11,9,6,18,11,14,19,15,9,14,11
10,19,34,22,27,26,27,30,30,15,19,15,23,18,23,18,11,17,16,15,20,20,14,21,15,9,14,10,9,6,18,20,14,20,15,9,14
11,21,19,33,21,28,26,27,30,32,16,18,15,23,18,23,18,11,17,16,15,20,20,14,20,15,9,13,10,9,6,20,20,14,19,15,9
12,26,22,22,33,21,28,28,27,30,30,15,18,15,23,18,23,18,11,17,16,15,20,20,15,20,15,9,13,10,9,14,20,20,14,19,15
13,25,27,21,21,32,21,27,26,27,30,31,15,18,14,23,18,23,22,11,17,17,16,20,19,16,19,15,8,13,10,17,15,20,19,15,18
