ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,3,1,1,1,2,1,2,None,1,None,None,None,2,1,1,3,2,None,3,1,1,None,None,3,None,1,1,None,2,None,1,None,None,3,None,1
1,2,2,1,1,1,2,None,2,1,2,None,None,None,2,1,1,2,2,None,2,1,1,None,None,3,None,1,1,None,3,1,1,None,None,3,None
2,None,2,2,1,1,1,2,None,2,2,2,None,None,1,2,1,1,2,2,None,2,1,1,None,None,1,None,1,2,None,2,1,1,None,None,2
3,3,1,2,2,1,2,1,2,None,2,2,2,None,None,None,2,1,1,2,1,None,2,1,1,None,None,2,None,1,2,None,2,1,2,None,None
4,3,3,1,2,2,1,1,1,2,None,3,2,2,None,None,1,2,1,1,1,None,None,2,1,2,None,None,2,None,1,None,None,2,1,2,None
5,2,4,3,1,2,2,1,1,1,2,1,2,2,2,None,None,1,2,1,None,1,None,None,3,1,3,None,None,2,None,1,None,None,2,1,2
6,1,1,4,4,1,2,2,2,1,None,2,1,2,2,2,None,None,1,2,1,None,1,None,None,2,1,3,None,None,2,None,1,None,None,2,1
7,3,1,1,4,4,1,2,2,1,1,1,2,1,2,2,3,1,None,1,2,1,1,2,None,None,2,1,3,None,None,1,1,1,None,None,2
8,2,3,1,1,3,4,1,2,2,1,1,1,2,1,2,2,3,1,1,1,2,1,1,1,1,None,2,1,3,None,2,1,1,1,None,None
9,2,1,3,1,1,3,4,1,3,2,3,1,None,2,1,3,3,3,1,1,1,2,1,1,1,1,None,2,1,2,1,2,1,1,1,None
10,2,1,1,3,None,1,3,4,1,3,3,3,1,1,2,1,3,3,3,1,1,1,2,1,1,1,1,None,2,1,1,1,2,1,1,1
11,3,1,2,2,3,None,1,3,5,1,3,3,3,1,1,2,1,3,3,2,1,1,1,2,1,1,3,1,None,2,1,1,1,2,1,1
12,None,3,1,1,1,3,None,1,3,5,1,3,3,3,1,2,2,1,3,3,2,1,1,1,3,1,1,2,1,None,2,1,1,1,2,1
13,1,1,3,2,1,1,3,None,1,3,5,2,3,3,3,1,2,2,1,3,3,2,1,1,1,3,1,1,2,None,2,2,1,1,1,2
14,6,1,1,3,1,2,2,3,None,2,3,5,2,4,2,3,1,2,2,1,3,3,2,1,1,1,3,1,1,2,3,3,2,1,1,1
15,2,6,1,2,3,1,1,1,3,None,2,3,5,2,4,2,3,1,2,2,1,3,3,2,1,2,1,3,1,1,1,3,3,2,1,2
16,None,2,6,1,2,3,1,1,1,3,None,2,2,5,2,3,2,3,1,2,2,1,4,3,2,1,2,1,3,1,2,1,4,3,2,1
17,5,None,2,6,1,2,3,1,1,1,4,None,2,2,5,2,3,2,3,1,2,2,1,3,3,2,2,2,1,2,2,2,1,3,3,2
18,5,6,None,2,7,1,3,3,1,1,2,3,None,2,2,5,2,3,2,2,1,2,2,1,3,3,2,2,1,1,1,2,2,1,3,3
19,2,5,5,None,2,6,2,2,4,1,2,2,3,None,2,2,5,2,3,2,2,1,2,2,None,4,3,2,2,1,2,1,2,2,1,4
20,2,2,5,5,None,2,6,1,2,4,2,2,2,3,None,2,2,5,2,3,2,2,1,2,2,1,4,4,2,1,2,2,1,2,2,1
21,1,3,3,5,6,1,2,6,1,2,4,3,2,2,3,None,2,2,5,2,3,2,2,1,3,2,1,3,4,2,3,2,2,1,2,2
22,4,None,3,3,6,5,1,2,6,2,3,2,3,2,2,3,None,3,2,4,2,3,3,2,1,3,2,1,3,4,2,3,3,2,1,2
23,2,4,None,3,3,5,5,1,1,6,3,3,2,3,2,2,3,None,3,2,5,2,2,3,2,1,3,2,1,3,5,2,2,3,2,1
24,2,2,4,None,4,2,6,5,1,1,7,3,3,2,2,2,2,2,None,3,2,5,2,2,3,2,1,3,2,1,2,5,2,2,3,2
25,1,3,2,5,None,4,3,4,4,1,2,7,2,3,3,3,2,2,2,None,1,2,5,2,2,4,2,1,2,2,1,2,5,2,2,4
26,None,1,3,2,6,None,4,4,4,4,2,3,6,2,None,3,3,2,2,1,None,1,2,6,3,2,4,2,1,1,None,1,2,5,2,2
27,2,None,1,2,2,4,None,4,4,4,5,2,3,6,2,1,3,2,2,1,1,1,1,3,6,3,None,4,2,1,2,None,1,3,5,2
28,6,2,None,2,2,2,2,1,3,6,5,5,1,3,7,2,1,2,2,2,2,None,1,None,1,6,3,None,4,1,2,3,None,1,3,5
29,5,6,2,1,1,None,2,2,2,2,7,5,4,None,1,6,2,1,3,2,2,2,None,1,None,None,6,3,None,4,2,2,3,None,1,1
30,5,5,6,1,1,2,None,2,2,2,4,6,5,5,None,3,5,1,1,3,2,3,2,None,None,None,1,7,2,None,2,2,2,3,None,1
31,3,5,4,6,1,1,2,None,2,4,3,4,5,4,6,None,4,3,1,1,4,1,3,2,None,None,None,1,7,1,4,1,2,2,3,None
32,3,2,5,4,6,1,None,2,None,2,3,3,4,5,4,6,None,5,1,1,1,4,1,3,2,1,None,None,1,5,1,4,1,2,2,4
33,7,2,2,5,4,5,2,None,2,None,2,3,3,4,5,4,6,None,5,1,1,1,4,None,3,2,1,None,None,1,1,1,4,1,2,2
34,3,5,2,2,3,4,5,1,None,1,1,3,2,3,4,5,4,6,1,3,3,1,1,4,1,4,3,1,1,1,4,1,1,4,1,2
35,6,1,5,2,2,3,4,5,1,None,1,1,3,2,3,4,4,3,5,1,2,3,1,1,3,3,3,3,3,None,2,4,1,1,4,1
36,2,5,1,5,2,2,3,4,5,1,1,1,1,3,2,4,4,4,3,5,1,2,3,1,1,3,4,3,3,3,1,2,4,1,2,4
37,1,3,5,1,4,2,3,3,4,5,1,1,1,2,4,3,2,4,3,4,5,1,2,3,1,2,4,3,3,3,5,1,2,4,1,2
38,2,2,3,6,2,4,2,3,3,4,5,1,1,1,2,4,2,1,4,2,3,5,1,3,3,1,None,4,3,2,4,5,1,3,4,1
39,2,2,2,3,6,1,4,2,3,3,5,6,1,2,1,2,4,2,1,4,3,3,6,1,2,3,1,None,4,2,3,4,6,1,3,4
40,6,2,2,3,3,7,1,4,2,3,4,6,6,1,2,2,2,5,2,1,4,4,3,5,1,2,4,1,None,4,4,3,4,5,1,3
41,1,6,2,3,2,3,8,2,4,2,4,4,6,6,1,2,2,2,5,2,1,4,4,3,5,3,2,6,1,None,1,4,3,4,5,2
42,4,1,6,2,3,2,3,7,3,3,4,4,3,7,7,1,2,2,2,5,3,2,4,4,4,6,2,2,6,1,3,2,4,3,4,7
43,5,2,1,6,2,2,2,3,8,2,4,4,4,3,6,8,1,2,2,2,5,3,2,4,4,4,6,2,2,5,5,3,2,4,3,4
44,2,2,2,1,6,2,2,2,3,7,2,4,4,4,3,7,8,1,2,2,2,5,3,2,4,4,5,4,2,2,2,5,3,2,4,3
45,5,2,2,2,1,6,2,2,2,3,7,2,4,4,4,3,7,8,1,2,2,2,5,3,2,6,3,4,4,1,1,2,5,3,2,5
46,3,5,2,2,2,1,6,2,2,1,3,7,4,4,4,4,3,7,8,1,2,2,2,5,3,3,6,4,3,5,2,1,2,5,3,3
47,3,2,5,1,2,2,1,6,2,2,2,3,7,4,4,4,4,3,7,9,1,2,2,2,4,2,3,6,4,2,1,2,1,2,4,2
48,6,3,2,5,2,2,2,1,7,2,2,2,3,8,3,4,4,4,3,6,9,1,1,2,2,5,2,3,5,3,10,1,1,1,2,5
49,None,6,3,2,5,1,2,3,2,7,3,2,2,3,8,3,4,4,4,3,6,9,1,1,2,3,4,2,3,5,6,10,1,1,1,3
50,4,None,5,3,2,5,1,2,2,1,7,3,2,2,3,8,3,3,4,4,3,8,9,1,2,2,3,4,2,3,3,7,9,1,1,1
51,2,4,None,5,3,3,5,1,2,2,1,7,2,2,1,3,8,3,3,4,4,3,8,8,1,2,2,3,4,2,4,3,7,8,1,1
52,3,1,4,None,5,3,3,5,1,2,3,1,7,2,2,1,3,8,3,4,4,4,2,8,9,1,3,2,3,4,4,4,3,7,8,1
53,2,3,1,4,None,5,3,3,5,1,3,4,1,8,2,2,1,3,7,3,4,4,4,2,8,9,1,3,2,2,4,4,4,3,6,8
54,7,2,3,1,4,None,5,3,3,4,2,3,4,1,7,2,2,3,3,7,3,4,3,4,3,6,8,1,3,2,3,4,4,4,3,6
55,4,7,2,3,1,4,None,5,3,3,5,2,3,4,1,6,2,2,3,3,7,2,4,3,4,3,6,7,1,1,8,2,5,4,4,3
56,6,3,7,2,3,1,4,None,5,2,3,5,2,3,4,1,6,2,2,3,3,7,2,4,4,4,3,6,7,1,3,7,2,5,4,4
57,4,7,3,7,2,3,1,4,None,5,3,3,4,2,2,4,None,6,3,2,3,3,7,2,4,4,4,3,6,7,3,3,7,2,4,4
58,9,5,8,4,7,2,3,1,4,None,6,3,3,4,2,2,4,1,6,3,2,3,3,7,2,5,4,4,3,6,1,3,3,7,2,5
59,2,9,4,8,4,6,2,3,1,5,1,6,3,3,4,2,2,3,1,5,3,2,3,3,7,2,5,4,4,3,3,2,3,3,6,2
60,2,1,9,3,7,4,6,2,3,1,5,1,6,3,3,4,2,2,3,1,5,3,2,3,3,8,3,5,4,4,5,3,2,3,3,7
61,6,2,1,8,3,7,4,6,2,3,2,5,2,6,3,3,4,2,2,3,1,5,3,2,3,3,8,3,5,4,1,5,3,2,3,3
62,2,6,2,1,8,3,7,4,6,2,3,2,5,2,6,3,3,4,2,2,3,1,5,3,2,4,3,8,3,4,3,1,5,3,2,4
63,2,1,5,2,1,10,3,7,5,6,3,3,2,5,2,5,3,2,4,2,2,3,1,5,3,2,4,3,8,3,2,3,1,5,3,2
64,None,2,1,5,2,None,8,4,7,5,6,3,3,2,3,2,5,3,2,4,2,1,3,1,5,4,2,2,3,9,2,2,3,1,5,4
65,1,None,1,1,5,2,None,8,3,7,6,6,3,3,2,3,2,4,3,2,4,2,1,3,None,5,4,2,2,3,4,2,2,3,1,5
66,4,1,2,2,1,5,2,None,7,3,7,6,5,3,3,2,3,2,5,3,2,4,2,3,3,None,5,4,2,2,2,4,2,4,3,None
67,1,3,1,None,1,1,5,2,None,7,3,7,6,5,3,3,2,3,1,5,3,2,4,2,4,3,None,5,4,1,3,2,4,2,4,3
68,4,1,3,1,None,1,None,5,2,None,9,3,6,6,5,3,2,2,3,1,5,4,2,4,3,4,3,None,5,5,5,3,2,4,3,4
69,5,3,None,3,1,None,1,1,5,2,2,9,3,6,6,5,3,2,2,3,1,5,3,2,3,3,4,4,None,5,1,5,3,2,4,3
