ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,3,None,1,1,None,None,2,None,1,None,1,2,2,2,5,2,3,1,1,None,6,1,1,4,1,3,None,5,2,1,6,1,1,4,2,3
1,None,3,None,1,1,None,None,1,1,1,None,1,3,2,2,5,2,4,2,2,None,7,1,1,4,1,3,None,5,2,None,7,1,1,4,2
2,5,None,3,None,1,1,None,1,1,1,1,None,1,3,2,3,5,2,4,3,2,None,7,None,1,4,1,3,1,5,1,None,7,None,1,4
3,1,5,None,2,None,1,1,None,1,1,1,1,None,1,3,2,3,5,2,4,3,2,2,7,None,1,3,3,3,2,3,1,1,7,None,1
4,1,None,5,None,2,None,1,1,None,1,1,1,3,None,1,3,2,3,5,2,4,4,2,2,6,None,1,3,3,3,4,4,1,1,6,None
5,5,2,None,5,None,3,None,1,None,None,None,1,1,3,1,2,3,2,4,5,2,4,3,2,1,6,None,1,3,4,2,4,4,1,1,6
6,None,4,2,None,5,None,3,None,1,None,1,None,1,1,3,None,1,3,3,4,5,2,4,4,3,1,6,None,1,3,4,2,4,5,2,1
7,5,1,5,2,None,4,None,2,None,3,None,1,None,1,1,3,None,1,4,1,4,5,2,4,4,3,1,6,None,1,4,4,2,3,4,2
8,4,5,1,4,2,None,4,None,2,None,3,None,1,1,2,1,2,None,None,3,2,4,6,2,5,4,3,1,6,None,2,4,5,3,4,4
9,1,3,5,1,4,2,None,4,None,2,None,3,None,1,1,2,1,2,None,None,3,2,4,5,2,6,4,2,1,6,4,2,4,4,3,5
10,3,1,3,5,1,4,2,1,4,None,2,None,3,None,None,2,1,1,2,None,None,3,2,5,6,3,7,5,1,1,None,4,2,5,6,4
11,6,4,1,3,5,1,5,2,1,3,None,2,None,3,None,None,2,1,1,2,None,None,4,2,5,5,3,8,5,1,None,None,5,2,5,5
12,6,7,4,2,3,5,1,4,3,1,5,None,2,None,3,1,None,2,1,1,1,None,None,5,2,5,5,3,9,5,2,None,None,5,2,5
13,3,6,8,4,2,3,5,1,4,2,2,5,None,2,None,3,1,None,1,1,None,1,None,None,6,2,5,6,5,7,None,2,None,None,6,2
14,4,3,5,7,4,1,3,5,1,4,2,2,4,None,2,None,3,1,1,1,1,None,1,None,None,5,2,5,5,5,1,None,1,None,None,5
15,3,3,3,5,8,4,1,3,5,1,5,2,2,5,None,2,None,3,2,1,1,1,None,2,None,None,5,2,5,5,1,1,None,1,None,None
16,5,3,3,3,6,8,4,2,3,5,1,6,2,2,5,None,2,1,3,2,None,2,1,1,1,None,None,5,2,6,None,2,1,1,1,None
17,7,2,2,3,3,6,8,4,2,3,6,1,6,3,3,5,None,2,1,3,None,None,2,2,1,1,1,None,5,2,None,None,2,2,1,1
18,1,5,3,2,3,3,6,8,4,2,3,6,1,7,3,3,5,None,2,1,3,None,None,3,3,1,1,1,None,6,3,None,None,2,3,1
19,4,2,5,2,2,4,3,6,8,4,2,3,6,1,7,3,3,5,None,2,1,3,1,None,4,3,2,1,1,None,1,3,1,None,3,3
20,2,3,2,5,2,4,4,4,6,7,5,2,3,6,1,7,4,3,5,None,2,1,3,1,None,4,3,2,1,1,2,1,3,1,None,3
21,2,2,3,2,5,2,4,5,4,7,8,5,3,3,7,1,7,4,3,5,None,2,2,3,1,None,3,3,2,1,None,2,1,3,1,None
22,5,3,1,3,2,6,3,2,5,3,8,8,5,3,3,6,2,7,4,2,5,None,2,1,3,3,None,1,3,2,4,None,2,1,3,3
23,6,4,3,1,2,3,5,3,2,4,3,5,7,5,3,3,6,1,8,4,3,3,None,2,1,3,2,None,2,3,3,3,None,2,1,3
24,1,6,3,3,None,2,3,5,5,2,5,2,6,7,5,2,3,5,1,8,5,3,3,1,2,1,3,2,None,3,5,3,3,None,2,1
25,4,1,7,3,3,None,2,1,5,4,3,4,3,5,7,5,2,3,4,1,8,5,3,3,2,2,1,3,2,None,8,5,3,3,1,2
26,1,4,1,7,3,3,None,2,1,5,5,3,4,2,5,9,5,2,3,4,1,8,5,3,3,3,2,1,3,2,1,8,5,3,3,2
27,3,None,4,1,8,3,3,None,3,2,4,5,4,4,2,5,9,5,4,5,4,None,7,8,3,3,2,2,1,3,5,1,7,7,3,3
28,4,4,None,5,1,7,4,3,None,3,1,4,7,4,4,2,5,9,5,5,5,3,1,8,7,4,3,2,2,1,5,3,1,8,6,4
29,2,3,3,None,5,None,6,4,3,None,3,1,4,7,3,5,1,5,6,6,3,4,4,1,8,7,4,3,2,2,3,4,4,1,8,6
30,4,2,3,2,1,5,None,7,4,5,1,3,1,5,7,3,5,2,5,6,4,3,4,6,3,9,5,4,3,2,4,3,4,5,2,9
31,2,4,2,3,3,1,5,None,6,4,3,1,3,1,5,7,2,4,4,6,7,4,4,5,7,3,9,5,3,3,7,4,4,5,5,2
32,4,2,3,2,3,3,1,6,None,6,4,3,1,4,1,6,7,2,4,5,6,7,5,8,6,7,2,9,4,2,7,6,6,6,6,5
33,6,3,2,3,3,3,3,None,6,None,5,4,5,None,5,3,8,7,2,5,6,5,6,6,7,6,6,2,9,4,6,5,6,6,6,6
34,6,5,3,3,3,3,3,3,1,4,1,5,4,5,1,4,2,7,6,4,4,7,6,6,5,5,6,6,2,8,5,7,6,6,5,4
35,None,5,4,3,3,4,3,3,3,None,3,1,5,4,5,1,4,2,7,6,7,5,8,6,4,5,3,5,7,2,6,6,8,6,5,5
36,6,None,5,4,3,2,3,4,4,3,2,3,1,5,4,5,1,4,2,8,5,8,5,7,6,4,5,3,3,7,5,7,6,7,6,5
37,5,5,None,6,4,3,3,3,5,3,3,2,3,1,7,5,5,1,4,2,7,5,7,7,6,7,5,5,4,5,7,5,8,8,6,7
38,3,4,5,None,6,4,3,2,3,5,3,4,2,3,1,8,6,5,None,4,2,7,5,8,6,6,6,4,7,5,2,7,5,8,6,6
39,6,2,4,5,2,5,4,3,2,4,5,3,4,1,3,None,7,6,6,1,5,3,7,7,8,6,7,7,4,6,4,3,7,7,8,6
40,6,5,2,3,5,None,5,4,4,2,4,5,3,4,1,3,None,7,5,6,1,5,3,7,6,6,7,7,8,4,1,4,3,7,6,7
41,1,6,5,2,3,5,1,6,4,3,2,4,6,3,5,None,3,None,7,3,5,1,5,2,7,6,6,10,7,7,5,1,4,3,7,6
42,3,None,7,5,3,4,4,None,5,4,4,2,4,6,3,5,None,3,1,6,3,4,3,4,4,7,6,7,8,6,4,4,3,4,4,7
43,8,2,None,7,5,3,3,4,None,5,4,3,None,4,6,3,5,None,3,1,6,3,5,1,4,4,8,6,6,6,6,4,5,2,4,4
44,5,8,2,None,7,5,3,4,6,None,4,4,3,None,4,6,3,5,None,3,None,6,2,5,3,4,4,8,6,6,None,6,3,5,3,4
45,3,6,8,2,None,7,5,4,4,5,None,4,4,3,None,4,6,3,5,None,3,1,7,2,4,3,4,4,7,6,4,1,7,3,5,3
46,2,3,5,8,3,None,8,6,3,4,4,None,5,4,3,None,5,6,5,5,None,2,2,9,4,4,2,5,5,7,None,3,2,10,4,5
47,3,2,3,5,8,2,None,7,6,3,5,4,None,4,4,4,None,5,6,5,6,None,3,3,9,4,5,2,5,5,5,None,4,3,10,4
48,4,2,2,3,5,8,4,None,7,5,3,5,5,None,5,4,4,None,5,6,5,6,1,2,2,9,4,6,2,3,5,5,1,3,2,10
49,2,3,2,2,3,5,8,3,None,8,5,3,5,5,None,6,4,4,None,5,6,5,6,1,4,2,10,4,7,3,6,5,5,1,4,2
50,5,2,3,2,1,3,5,8,4,None,9,5,3,5,5,None,6,4,4,3,5,6,5,7,1,4,2,10,5,7,5,6,5,6,1,4
51,4,5,1,3,2,1,3,5,8,3,None,9,5,2,5,5,1,6,4,4,3,6,6,5,7,1,4,1,12,5,3,6,6,5,6,1
52,8,3,4,1,3,3,2,3,5,8,4,None,9,5,3,5,4,1,6,4,4,3,6,6,4,5,1,4,2,10,4,3,6,6,4,5
53,6,7,5,4,2,3,4,2,3,5,7,4,None,9,4,3,5,4,1,6,4,4,3,6,6,5,5,2,3,2,4,4,3,6,6,5
