ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,1,5,2,5,1,3,3,1,2,3,2,1,5,2,2,5,3,2,5,5,1,1,2,6,1,0,0,2,1,2,1,2,2,6,1,0
1,4,1,5,0,4,2,3,3,1,1,3,2,0,5,2,2,4,3,2,5,6,1,1,2,6,1,0,0,2,1,6,1,2,2,6,1
2,3,4,0,5,1,4,2,3,3,1,2,3,2,0,5,2,2,4,3,2,5,6,1,1,2,6,1,0,0,1,5,6,1,2,2,6
3,4,3,4,0,5,0,4,2,3,3,1,2,3,2,0,4,1,2,5,3,2,5,6,1,1,2,6,1,0,0,2,5,6,1,2,2
4,1,4,3,4,1,5,0,4,3,3,4,1,2,3,2,0,3,1,1,5,3,2,5,6,2,1,2,5,2,0,3,2,5,6,2,2
5,5,1,4,2,4,0,5,1,5,3,3,4,1,2,3,2,0,3,1,1,5,3,2,5,6,2,1,2,5,2,5,3,2,5,6,2
6,6,6,1,4,2,4,0,6,0,4,3,3,4,1,2,3,2,0,3,1,1,5,3,2,5,6,1,1,3,5,2,5,3,2,5,6
7,5,7,5,1,4,2,5,0,5,1,4,3,3,4,1,2,3,2,0,3,1,1,4,3,2,5,6,1,3,3,1,2,4,3,2,5
8,3,4,6,5,1,4,2,3,0,5,1,4,3,3,4,1,2,3,1,0,3,1,1,4,3,2,5,6,1,3,2,1,2,4,3,2
9,1,3,4,6,5,1,4,2,4,0,5,1,4,3,3,4,0,2,2,1,0,3,1,1,4,3,2,4,6,1,0,2,1,2,4,3
10,8,1,2,4,6,5,1,4,2,4,0,5,1,4,3,3,4,0,2,2,1,0,3,1,1,4,3,2,4,6,1,0,2,1,2,4
11,5,9,2,2,4,6,5,1,6,2,4,0,4,1,4,3,3,4,1,2,2,1,0,3,1,1,5,2,3,4,2,1,0,2,1,2
12,6,5,8,2,2,5,5,5,1,4,3,4,0,5,1,4,3,3,3,1,2,2,1,0,3,1,1,5,3,3,2,2,1,0,2,1
13,7,5,6,8,1,2,4,6,5,1,5,3,5,0,5,1,3,3,3,3,1,2,2,1,0,3,1,1,5,3,1,2,2,1,0,2
14,5,7,5,6,8,1,2,4,6,5,2,5,3,5,0,5,1,3,3,3,3,1,2,2,1,0,3,1,2,5,4,1,2,2,1,0
15,5,5,7,5,5,7,0,2,4,5,6,2,5,3,5,0,5,1,3,3,3,2,0,2,2,1,0,3,1,2,3,3,0,2,2,1
16,6,5,5,7,5,4,7,0,2,4,6,6,2,5,3,4,0,5,1,3,3,3,2,0,2,2,1,0,2,1,3,3,3,0,2,2
17,6,5,5,5,7,4,4,7,0,2,5,6,6,2,5,3,4,0,4,1,3,3,3,2,0,2,2,1,0,2,3,3,3,3,0,2
18,3,6,5,5,4,7,5,4,8,1,3,5,7,6,2,5,4,4,0,4,1,2,3,3,2,0,2,2,1,0,1,2,3,3,3,0
19,5,3,6,5,4,4,7,4,4,7,0,3,5,6,6,2,5,4,4,0,4,1,2,3,4,2,1,2,2,1,4,1,2,3,4,3
20,9,6,3,6,4,4,5,7,3,5,6,0,3,5,6,5,2,5,3,4,0,4,1,2,3,4,2,1,2,2,0,4,1,2,3,4
21,4,8,5,5,4,6,5,4,6,3,4,4,0,2,5,6,5,2,5,2,4,0,4,1,1,3,4,2,1,2,4,0,4,1,1,3
22,7,4,7,5,2,4,5,5,4,6,2,3,2,0,2,5,6,4,2,5,2,4,0,4,1,1,2,4,3,1,2,4,0,4,1,1
23,7,8,3,8,5,1,4,4,5,5,7,2,2,3,0,4,5,6,4,2,5,2,4,0,4,1,1,2,4,2,5,2,4,0,4,1
24,8,6,7,3,6,5,1,5,4,4,5,7,2,2,3,0,4,5,6,4,2,4,2,4,0,3,1,1,2,4,2,4,2,4,0,3
25,5,9,6,8,3,6,4,0,3,5,4,5,7,2,2,3,0,4,7,6,3,2,4,2,4,0,3,1,2,2,3,2,4,1,4,0
26,3,5,9,6,8,3,6,4,0,3,5,4,5,7,2,5,4,0,3,6,6,3,2,4,2,4,0,3,1,2,6,3,2,4,1,4
27,1,3,5,10,5,9,3,4,4,0,3,4,4,5,7,3,5,4,1,3,7,5,3,3,4,2,4,0,5,1,6,5,3,2,4,1
28,7,1,3,5,8,4,8,4,4,5,1,4,3,4,5,4,3,4,4,1,3,5,5,2,3,4,1,4,0,5,3,5,5,3,2,4
29,5,5,1,2,5,8,4,8,4,5,5,1,4,3,4,6,4,3,2,6,1,3,5,5,2,1,4,1,4,0,1,3,5,5,3,1
30,4,5,5,0,2,4,8,4,8,2,3,5,0,4,2,4,7,3,3,2,6,1,3,3,5,1,1,5,0,4,6,1,3,3,5,2
31,1,5,4,5,1,2,4,8,4,9,4,3,4,0,4,2,4,7,3,3,3,6,2,4,3,5,1,1,5,0,2,6,2,3,3,5
32,3,2,5,5,5,0,1,4,7,4,7,4,3,4,0,4,2,4,4,3,2,2,5,2,5,2,5,1,2,5,2,2,5,2,4,2
33,4,3,2,4,6,5,0,2,4,7,3,5,4,3,4,1,4,3,2,4,4,2,2,5,2,3,2,5,4,2,6,2,2,5,2,3
34,5,5,3,1,4,5,5,0,1,5,9,4,5,4,2,4,1,4,3,2,3,4,1,2,4,1,2,3,5,4,3,5,2,2,4,1
35,4,5,5,3,1,4,5,5,0,1,5,9,4,5,4,2,4,2,3,3,3,3,4,1,2,2,1,2,3,5,3,3,5,2,2,3
36,1,4,5,4,4,1,4,5,5,0,2,5,9,4,7,4,2,4,4,2,3,3,3,4,1,2,2,1,3,2,3,3,3,5,2,2
37,1,1,4,5,3,3,1,3,6,5,0,2,5,9,4,7,4,2,4,3,1,3,3,4,4,1,2,1,1,3,1,3,3,3,5,2
38,1,0,3,3,5,3,3,1,3,5,5,2,2,5,8,4,7,4,2,3,2,1,3,3,4,4,1,2,2,1,2,1,3,3,3,5
39,2,1,0,1,3,5,3,3,1,3,3,5,2,2,4,8,5,7,3,2,3,2,1,3,3,4,4,1,2,2,3,2,1,3,3,3
40,2,2,1,1,0,3,6,3,4,1,3,2,5,2,3,4,6,5,8,3,2,3,2,1,3,3,4,4,2,2,2,3,2,1,3,3
41,8,4,2,2,0,0,3,5,3,3,2,3,2,5,2,3,3,7,5,8,2,1,3,2,1,3,3,4,5,2,2,1,3,2,1,3
42,3,8,3,2,1,0,0,3,5,4,3,2,3,2,5,1,3,3,7,5,7,2,1,3,2,1,3,3,3,5,7,2,1,3,2,1
43,5,2,8,3,2,1,0,0,3,5,3,3,2,3,3,5,1,2,4,8,5,7,2,0,3,2,1,3,3,3,6,7,2,1,3,2
44,4,5,2,8,3,1,1,2,1,4,5,3,3,2,0,3,5,1,1,4,8,5,7,2,0,3,2,1,3,3,9,6,7,2,1,3
45,3,4,5,2,7,2,1,1,0,0,3,5,3,3,2,2,3,4,1,1,4,8,5,7,2,0,3,2,1,3,4,8,6,7,2,1
46,3,3,4,5,2,6,2,1,1,0,1,3,5,3,2,1,3,3,5,1,1,5,7,4,7,2,0,3,2,1,1,5,7,5,7,2
47,4,3,3,4,5,2,6,2,1,1,1,1,3,5,3,2,1,3,2,5,1,1,4,7,4,7,2,0,3,2,0,1,4,7,5,7
48,6,4,3,3,5,5,2,6,2,1,2,1,1,3,5,3,2,1,4,2,5,1,1,4,7,4,7,2,1,3,5,0,1,4,7,5
49,4,6,4,3,3,4,5,2,6,2,1,2,1,1,3,5,3,1,1,3,3,5,1,1,4,7,4,7,2,1,3,5,0,1,4,7
50,6,4,5,3,3,3,4,5,2,6,3,1,2,1,1,3,4,3,3,1,3,3,5,1,1,4,7,6,7,2,3,3,5,0,1,4
51,5,5,4,5,3,3,3,3,5,2,6,3,1,2,1,1,3,4,4,3,1,3,3,5,2,1,5,6,6,7,1,3,3,5,1,1
52,1,5,6,4,4,2,3,3,3,5,3,6,3,1,2,1,1,3,4,4,3,1,3,3,5,2,1,5,6,6,3,1,3,3,5,1
53,3,1,6,6,5,4,2,4,3,3,6,3,6,3,1,2,1,1,3,4,4,3,1,4,3,5,3,2,5,6,4,3,1,4,3,5
54,1,3,1,6,6,5,4,2,4,2,3,6,3,6,3,1,2,1,1,3,4,4,3,1,4,3,5,1,2,5,4,4,3,1,4,3
55,4,0,3,1,6,6,5,4,3,5,3,3,6,3,6,3,1,2,1,0,3,4,4,3,1,4,3,5,1,2,3,4,4,3,1,4
56,4,4,0,3,2,7,6,5,4,2,5,3,3,6,3,6,3,1,2,2,0,3,4,4,3,1,5,3,5,1,0,3,4,4,3,1
57,9,4,4,0,3,1,6,6,5,3,3,5,3,3,6,3,6,3,1,2,2,0,2,4,4,3,1,5,3,5,2,0,2,4,4,3
58,5,9,4,5,0,3,2,6,7,5,4,3,5,3,4,7,2,6,4,1,2,2,0,2,4,4,3,1,5,3,2,2,0,2,4,4
59,5,5,9,6,4,1,3,1,6,6,5,4,3,5,3,4,7,2,6,3,1,2,2,0,2,4,4,3,1,5,1,2,2,0,2,4
60,4,5,5,10,4,5,0,3,1,6,7,5,4,4,5,3,4,7,2,6,3,1,2,2,0,2,4,4,3,1,3,1,2,2,0,2
