ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,3,6,6,5,9,3,3,8,1,4,7,6,6,3,4,6,5,7,6,8,6,7,6,10,8,7,5,4,7,11,6,7,6,11,8,7
1,9,2,7,6,5,9,4,5,8,1,3,6,6,7,3,4,7,5,7,5,8,6,7,4,9,8,8,6,5,9,9,6,7,4,10,8
2,4,10,2,6,7,7,8,4,5,8,1,3,6,7,7,3,4,7,5,7,5,7,7,6,4,10,10,8,6,5,6,8,6,6,4,11
3,6,9,8,2,6,8,7,9,4,4,7,1,3,5,7,6,3,4,6,5,7,5,7,8,7,6,11,9,10,6,7,5,8,7,7,6
4,16,5,10,9,2,6,7,7,9,4,4,7,1,3,5,7,6,3,4,6,5,8,5,8,8,7,7,13,10,10,6,8,5,8,7,7
5,8,14,5,10,10,2,7,7,7,10,5,4,6,1,3,6,8,6,3,4,6,5,8,6,8,7,7,7,13,9,6,6,8,6,8,6
6,11,9,14,4,9,10,3,6,7,6,8,5,4,6,1,3,7,8,6,5,4,6,5,7,6,8,8,9,7,12,4,6,7,8,6,8
7,19,12,9,14,5,9,10,3,5,6,7,8,5,4,7,1,3,7,8,6,5,5,6,6,7,5,7,7,9,6,5,5,8,8,8,6
8,12,17,12,9,13,5,9,9,3,5,6,6,8,3,4,7,1,4,8,8,6,5,6,8,6,7,5,7,7,8,6,5,6,9,8,8
9,12,11,17,11,9,13,5,8,9,3,5,6,6,8,3,6,9,3,4,8,8,6,7,6,7,7,6,6,7,7,8,6,7,6,8,8
10,13,12,11,17,12,8,14,5,8,8,3,6,6,6,7,3,6,9,3,4,8,9,6,7,6,7,6,6,6,7,8,9,6,7,6,7
11,16,12,12,12,16,11,9,14,5,8,8,3,6,6,6,9,3,6,9,4,6,7,9,6,7,6,7,8,8,6,6,7,10,6,7,7
12,8,14,13,11,13,16,11,9,14,5,8,8,3,7,6,6,8,3,6,8,4,6,6,9,7,7,6,6,8,8,4,6,7,10,7,7
13,13,8,15,12,12,15,17,11,9,15,5,8,8,3,7,6,5,8,4,6,9,4,6,6,9,7,8,6,6,7,9,4,6,6,10,7
14,13,12,8,14,12,11,15,16,11,9,16,7,8,8,3,7,6,5,9,4,6,10,4,6,6,9,7,9,6,5,6,9,4,6,6,10
15,11,12,11,8,14,12,11,15,16,12,9,16,7,8,9,3,7,6,5,10,5,6,11,5,6,6,9,6,9,6,5,6,10,5,6,6
16,6,13,12,11,10,15,13,11,16,16,11,10,16,7,8,9,3,7,7,5,10,5,5,12,5,6,6,10,6,9,10,5,6,11,5,6
17,9,6,12,12,12,8,14,13,11,18,18,11,9,17,7,8,9,5,7,7,5,11,5,6,12,5,5,7,10,6,4,11,5,7,11,5
18,11,9,6,12,13,11,9,14,12,11,19,18,11,9,17,8,8,10,6,7,8,4,11,6,6,13,5,4,6,10,8,3,11,5,6,12
19,13,8,8,6,13,12,12,9,14,11,12,16,18,12,9,15,9,10,11,7,7,8,4,11,6,6,13,4,4,6,7,8,3,11,5,6
20,14,13,8,8,6,13,11,12,10,15,11,12,15,18,13,9,15,9,11,11,8,7,9,4,11,7,6,12,3,3,8,7,9,3,11,6
21,7,11,13,7,7,7,12,13,11,9,13,11,12,15,18,12,9,15,9,12,11,8,7,9,4,11,8,7,11,3,11,8,7,9,3,10
22,9,8,13,12,7,8,7,12,15,10,11,14,10,12,15,18,12,11,16,8,12,11,8,6,11,4,11,8,7,10,12,11,8,6,11,3
23,10,9,8,14,13,8,7,7,12,13,12,12,13,10,13,15,18,12,11,15,8,13,11,7,6,10,4,10,7,6,8,13,11,8,6,10
24,7,12,12,9,15,12,9,8,8,11,13,12,12,13,10,14,15,20,12,11,15,8,14,11,7,7,12,6,8,7,16,8,14,11,8,7
25,10,7,11,10,7,14,12,8,8,8,11,14,12,10,16,9,14,16,19,13,10,17,9,12,10,7,9,10,6,8,11,17,8,13,10,8
26,7,9,7,11,10,8,12,13,8,9,9,10,15,12,10,18,10,13,17,20,13,11,17,10,12,9,8,12,12,6,13,11,17,10,13,9
27,8,11,10,8,11,11,7,12,13,10,10,10,12,15,10,11,20,11,14,18,21,13,10,18,14,12,9,7,12,9,20,13,10,18,13,13
28,7,6,10,11,6,11,11,7,13,15,10,9,10,12,14,10,10,23,12,13,18,22,13,12,17,15,13,8,9,11,17,22,13,11,17,14
29,8,10,6,11,11,7,11,11,9,13,11,10,10,12,14,11,10,10,23,11,13,19,23,13,13,17,18,14,10,9,13,18,22,13,11,17
