ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,None,None,None,1,None,1,1,None,1,None,1,4,None,2,1,None,2,2,2,1,None,None,1,1,None,2,2,1,1,1,None,None,1,1,None,3
1,2,1,None,None,1,None,None,1,None,1,None,1,4,None,None,2,None,2,2,2,1,None,None,None,1,None,2,2,1,1,1,None,None,None,1,None
2,1,3,None,None,None,2,None,None,None,None,None,None,3,2,None,None,2,None,2,2,2,1,None,None,None,1,None,2,2,1,2,1,None,None,None,1
3,1,1,3,None,None,None,2,None,None,None,1,None,None,3,2,None,None,2,None,2,2,2,1,None,None,None,1,None,2,2,2,1,1,None,None,None
4,3,None,2,3,None,None,None,2,None,None,1,1,None,None,3,2,None,None,2,None,2,3,2,1,None,None,1,1,None,2,2,3,1,1,None,None
5,None,4,1,2,3,None,None,None,1,None,None,1,1,None,None,3,2,None,None,2,None,2,2,2,1,None,None,1,1,None,None,3,4,1,1,None
6,2,None,3,None,2,3,None,1,None,1,1,None,1,1,None,None,3,2,None,None,1,1,3,3,1,1,None,None,1,1,1,1,3,4,1,2
7,2,2,None,3,None,1,3,None,None,1,1,1,None,1,2,None,None,3,2,None,None,1,1,3,3,1,2,None,None,1,None,1,2,4,4,1
8,None,2,2,None,3,None,1,2,None,None,1,1,1,None,1,2,None,None,3,3,None,None,1,1,3,2,1,2,None,None,None,None,1,2,4,4
9,2,None,2,2,None,2,None,1,2,None,None,1,1,2,None,1,1,None,None,2,3,None,None,1,2,4,3,1,1,None,3,None,None,1,2,4
10,3,2,None,2,2,None,2,None,1,2,1,None,1,1,2,None,1,1,None,None,2,3,None,None,1,2,3,2,1,1,2,3,None,None,1,2
11,2,4,2,None,2,2,None,1,None,1,2,None,None,1,1,2,None,1,1,None,1,2,3,None,None,1,2,3,2,1,1,1,3,None,None,1
12,1,3,4,2,None,2,2,None,1,None,2,2,None,None,1,1,2,None,1,1,None,None,2,3,None,None,1,None,3,2,None,None,1,3,None,None
13,1,1,2,4,1,None,2,2,None,1,2,2,2,None,None,1,1,2,None,1,1,None,None,1,3,None,None,1,None,3,2,None,None,1,3,None
14,6,1,1,2,4,None,1,2,2,None,2,1,2,2,None,None,1,1,2,None,1,1,None,None,1,3,None,None,1,None,2,2,None,None,1,4
15,5,6,1,1,1,4,None,None,3,4,None,3,1,2,2,None,None,1,1,2,None,2,1,None,None,1,4,None,1,1,None,2,2,None,None,1
16,1,4,6,1,1,1,4,None,None,2,3,None,3,1,2,2,None,None,1,1,1,None,2,1,None,None,1,4,None,1,2,None,2,2,None,1
17,2,None,4,6,1,1,1,4,None,None,2,3,None,3,1,2,2,None,None,1,1,2,None,2,2,None,1,1,4,None,1,1,None,2,2,None
18,5,2,None,4,5,1,1,2,4,2,1,2,3,None,3,1,2,2,None,None,1,1,1,1,2,2,None,1,2,4,1,1,1,None,2,2
19,2,5,2,1,4,5,2,1,1,5,3,1,2,3,None,4,1,2,2,None,None,1,1,1,1,2,3,None,1,3,None,1,1,1,None,2
20,2,3,4,1,None,3,5,1,1,2,5,4,1,2,3,2,4,1,2,2,None,None,1,1,1,1,2,3,2,1,None,None,1,1,1,None
21,1,2,3,5,1,1,2,5,1,1,3,5,4,1,2,3,2,4,1,2,2,None,None,1,1,1,1,2,2,3,2,None,None,1,1,1
22,None,1,2,3,5,1,1,2,6,1,2,3,4,3,2,2,3,2,4,1,2,2,None,None,3,1,None,1,2,2,2,2,None,1,3,1
23,1,None,1,2,3,5,1,1,2,5,1,2,3,5,4,1,2,3,2,3,1,2,2,None,1,3,1,None,1,2,1,2,2,1,1,3
24,1,None,None,1,2,3,5,1,1,2,6,1,2,3,7,3,2,2,3,2,3,1,2,3,1,1,3,1,None,1,3,1,2,2,2,1
25,None,1,None,None,1,2,2,5,1,1,3,6,1,2,2,6,3,2,1,3,2,3,1,1,3,2,None,2,1,None,1,4,1,2,2,2
26,2,1,1,None,None,2,2,3,5,1,1,3,6,1,1,4,6,3,2,1,3,2,3,1,None,2,2,1,1,2,4,1,4,1,1,2
27,None,2,1,1,None,None,3,2,2,5,3,1,3,6,2,1,4,6,3,2,1,3,2,3,1,None,2,2,None,1,2,4,1,4,1,1
28,None,None,1,1,1,1,1,3,2,3,7,3,1,3,6,None,1,3,5,3,2,1,3,3,4,1,None,2,2,None,2,2,4,1,6,1
29,1,1,None,1,2,1,None,1,3,2,2,7,3,1,4,7,1,1,4,5,3,1,None,2,3,4,1,None,4,2,3,1,2,3,2,4
30,2,None,1,None,1,1,1,None,None,3,3,3,7,2,1,4,7,1,1,4,4,3,1,None,3,2,4,2,None,5,4,3,1,1,3,2
31,None,None,None,1,None,1,1,2,None,None,3,2,5,7,1,1,4,6,1,1,2,4,3,1,None,3,2,5,2,2,2,5,3,1,1,3
32,2,None,None,None,1,None,1,1,3,None,None,3,4,4,4,1,1,4,5,1,1,3,5,3,1,1,4,3,6,2,1,3,4,3,1,1
33,1,2,None,None,None,1,None,1,1,4,1,None,3,4,4,5,2,2,4,5,1,1,3,4,3,None,3,4,2,5,2,1,3,4,4,1
34,1,None,1,None,None,1,1,None,1,1,6,2,None,3,5,4,5,2,1,3,4,None,1,3,3,4,1,2,4,2,4,2,None,3,4,4
35,None,2,None,1,None,None,1,1,None,None,1,5,2,None,4,5,3,5,2,1,3,3,None,None,4,3,5,1,3,4,3,4,2,1,4,4
36,None,None,2,None,1,None,None,1,1,None,2,1,6,2,None,4,4,3,5,1,1,3,3,None,1,4,3,5,1,2,1,4,4,1,None,3
37,None,None,None,3,None,1,None,None,1,2,None,1,1,5,2,None,4,4,3,5,1,2,3,3,1,None,4,3,6,None,1,2,4,4,1,None
38,2,1,None,None,2,None,None,None,None,1,2,None,1,1,4,2,None,5,3,3,5,None,2,3,4,1,None,5,3,7,4,None,3,4,4,1
39,None,2,None,None,None,2,None,None,1,None,2,1,None,1,1,4,2,None,5,3,3,5,None,3,3,4,1,None,4,5,3,3,None,3,4,4
40,3,None,2,None,None,None,2,None,None,None,1,2,1,None,2,1,4,2,None,4,3,3,3,None,3,4,4,1,None,3,2,3,3,None,2,4
41,3,4,None,2,None,None,None,2,None,None,None,1,2,1,None,2,2,4,2,None,4,3,3,3,None,2,4,4,1,None,4,2,3,3,None,2
42,None,2,4,None,3,None,None,None,1,2,1,None,1,2,1,None,2,2,4,1,None,4,3,3,3,None,2,4,4,1,None,4,2,3,3,None
43,2,1,2,5,None,2,None,None,None,1,1,1,None,1,1,1,None,2,2,4,1,None,4,2,4,3,None,None,4,4,1,None,4,1,4,3
44,3,3,None,2,5,None,2,1,None,None,2,1,1,None,1,None,1,None,2,2,4,1,None,3,2,4,3,None,1,6,4,1,None,4,1,4
45,2,2,3,1,2,5,None,2,None,None,None,2,1,1,None,1,1,1,None,2,2,5,1,None,3,1,6,3,None,1,1,5,1,None,4,1
46,2,2,2,3,None,3,4,None,2,None,None,None,2,None,1,None,1,1,1,None,1,1,5,1,None,4,1,6,2,None,2,1,5,1,None,4
47,None,1,2,2,3,1,3,3,None,1,1,None,None,2,None,1,None,1,1,1,None,2,1,5,1,None,6,1,5,2,None,1,1,4,1,None
48,4,None,1,2,2,2,None,3,3,1,1,1,None,None,2,2,1,None,1,1,1,None,1,1,4,1,None,6,1,4,1,None,1,1,4,1
49,1,4,1,1,2,2,2,None,3,3,2,1,1,None,None,1,2,2,None,1,1,1,None,1,1,4,1,None,6,1,2,1,None,1,1,4
50,1,None,4,None,1,2,2,2,None,4,4,2,1,1,None,None,1,3,2,None,1,1,1,None,1,1,4,1,None,6,1,2,1,None,1,1
51,4,1,None,4,None,1,2,2,2,1,3,4,2,1,1,None,None,1,3,1,None,1,2,1,None,1,1,3,1,None,None,1,2,1,None,1
52,3,4,1,None,4,None,1,2,2,2,2,3,4,2,1,1,None,None,1,3,None,None,1,3,1,None,1,1,3,None,2,None,1,2,1,None
53,2,4,4,1,None,4,None,1,2,2,3,2,3,4,2,1,1,None,None,1,3,1,None,1,3,1,None,None,1,4,2,3,None,1,2,1
54,None,1,4,4,1,None,4,None,1,2,2,3,2,3,4,3,1,1,None,None,1,3,3,None,1,2,None,None,None,1,1,2,4,None,1,2
55,7,None,1,4,4,1,None,4,None,1,3,2,3,2,3,4,3,1,1,None,None,1,3,5,None,1,2,None,None,None,None,1,2,5,None,1
56,2,6,None,1,4,5,1,None,4,None,2,4,1,3,1,3,4,3,1,1,None,None,1,3,5,None,1,2,None,None,None,None,1,3,4,None
57,1,2,6,None,None,4,5,2,None,5,None,2,5,1,3,3,3,4,3,1,1,None,None,1,3,4,None,1,1,None,1,None,None,1,3,4
58,2,1,3,6,None,None,2,4,1,None,6,None,2,5,1,3,3,3,4,3,1,1,None,None,None,3,4,None,2,1,1,1,None,None,1,3
59,3,1,1,3,6,None,None,2,4,1,None,6,None,1,5,1,3,4,3,4,2,1,1,None,None,None,3,4,None,2,2,1,1,None,None,1
