ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,2,6,5,4,3,2,4,1,1,5,6,3,2,2,4,5,3,7,3,2,2,6,2,3,2,3,7,4,6,6,1,6,2,3,4,3
1,6,1,6,5,3,3,2,4,1,None,3,6,3,3,2,4,5,3,7,3,3,2,6,2,3,2,4,6,5,6,2,2,6,2,3,2
2,4,7,1,8,6,5,3,2,4,1,1,2,7,4,5,2,4,5,2,7,4,3,2,6,2,3,2,5,6,5,5,2,3,6,2,4
3,6,5,7,1,6,5,5,4,2,4,3,1,2,6,4,5,2,4,5,2,7,4,3,3,7,2,3,4,5,6,7,5,3,4,7,2
4,2,6,5,7,3,6,5,5,4,2,3,3,1,2,7,3,5,2,3,5,2,7,4,3,1,7,2,3,4,5,2,7,5,3,2,7
5,5,3,6,5,7,2,6,5,5,4,3,3,4,2,2,7,3,5,2,3,5,1,7,4,3,1,7,2,3,4,5,1,7,5,3,2
6,6,6,3,7,5,7,2,6,5,4,4,3,3,3,2,2,7,3,4,2,3,5,1,7,3,3,2,6,2,5,3,5,1,7,4,3
7,5,6,6,3,7,5,7,2,6,5,4,4,3,3,3,2,2,7,3,4,3,3,5,1,7,4,3,2,7,3,3,3,5,1,7,4
8,4,6,6,6,3,6,5,8,2,7,6,4,4,3,3,4,2,1,6,4,4,3,4,5,1,7,2,3,2,7,4,3,3,5,1,7
9,12,4,6,6,5,3,6,6,7,2,6,6,4,5,3,2,3,2,4,4,3,4,3,4,5,1,5,3,3,3,3,4,3,4,5,1
10,7,12,5,6,6,5,2,6,5,8,3,6,6,4,5,3,2,2,2,4,4,3,4,3,4,5,1,4,3,3,6,3,4,3,4,5
11,5,8,12,5,6,6,5,2,6,5,7,3,6,6,4,5,3,5,1,2,4,4,3,4,3,3,5,1,4,3,4,6,3,4,3,3
12,8,5,8,13,5,6,6,7,2,7,5,7,3,6,6,4,4,4,5,1,2,4,4,3,3,3,2,5,1,4,2,4,6,3,3,3
13,7,8,5,8,12,5,6,6,5,2,7,5,7,3,6,6,4,4,4,5,1,2,5,4,3,3,2,2,5,1,1,2,5,6,3,3
