ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,5,2,3,3,2,4,2,0,1,2,3,2,4,0,1,1,4,1,3,3,2,4,2,4,4,2,7,4,2,5,2,4,2,4,4,2
1,1,5,2,2,2,1,4,2,0,1,2,3,1,3,0,1,1,3,1,3,2,2,4,3,4,4,2,7,3,1,4,2,4,3,4,4
2,0,1,5,2,1,3,1,4,2,0,2,1,3,1,2,0,1,1,3,1,3,3,2,2,2,5,6,2,8,3,3,4,2,3,2,5
3,0,1,1,3,2,1,3,2,3,1,1,2,1,3,1,1,0,2,1,5,1,3,3,1,4,2,5,4,2,8,2,3,4,1,4,2
4,3,2,1,1,3,2,2,3,2,3,2,1,2,1,4,1,1,0,3,1,4,1,5,4,0,4,3,5,3,1,4,2,4,4,0,4
5,6,4,3,2,1,4,3,3,4,2,2,1,1,2,1,4,0,1,0,3,1,4,1,4,4,0,4,4,5,3,1,4,2,4,4,0
6,3,6,4,3,2,2,4,4,4,5,2,2,1,1,3,1,3,0,1,0,2,1,4,0,6,3,1,2,4,5,2,1,4,1,6,3
7,5,3,6,3,3,2,1,5,3,4,6,2,2,2,1,4,1,3,0,1,0,3,1,4,0,6,3,1,4,3,1,2,2,4,1,6
8,3,4,2,6,3,3,3,2,5,3,4,3,2,1,2,1,3,1,3,0,1,0,1,2,4,2,4,4,1,4,0,1,1,3,4,2
9,5,3,4,3,5,3,3,2,1,4,2,4,2,2,0,2,1,2,1,3,0,0,0,1,2,4,2,4,4,1,0,0,1,1,3,4
10,4,5,4,5,3,5,3,3,2,1,4,2,4,2,2,0,2,1,2,2,3,0,0,2,1,4,4,2,4,4,3,0,0,2,1,4
11,6,4,5,4,5,3,5,3,2,2,1,4,2,4,2,2,0,2,1,2,2,4,0,0,2,1,4,4,2,3,1,4,0,0,2,1
12,5,7,4,5,4,5,3,5,3,2,2,1,4,2,4,3,2,0,2,1,1,2,4,0,0,2,1,4,4,2,1,1,4,0,0,2
13,4,4,8,4,5,4,5,4,5,2,2,2,1,4,1,7,3,2,0,2,1,1,2,3,1,1,2,1,4,4,1,1,1,3,1,1
14,8,4,4,8,4,5,4,5,4,5,2,2,2,1,4,1,7,3,2,0,3,1,1,2,3,1,1,2,1,3,3,1,1,1,3,1
15,5,8,5,5,7,3,5,4,4,4,4,2,2,2,0,4,1,5,3,1,0,3,1,1,2,1,2,1,2,1,1,3,1,1,1,1
16,0,5,9,6,5,7,3,5,4,5,4,5,2,2,2,0,5,1,5,3,1,0,3,1,1,0,1,2,1,1,1,1,3,1,1,0
17,4,0,5,9,6,5,7,3,6,5,3,4,5,2,2,2,0,5,2,5,4,1,1,3,1,1,0,1,2,2,4,1,2,3,1,1
18,2,5,0,5,9,4,5,6,3,5,6,4,4,5,2,2,3,0,5,2,5,4,1,1,3,2,1,1,1,2,5,4,1,2,3,2
19,4,2,4,0,5,9,4,5,7,4,6,5,4,3,5,3,2,3,0,5,2,5,5,2,1,3,2,1,1,1,2,5,5,2,1,3
20,4,4,3,3,1,5,9,4,6,7,5,6,4,3,4,5,3,2,3,0,5,2,5,5,2,1,3,2,1,1,5,1,5,5,2,1
21,4,4,4,2,4,1,6,10,4,6,7,3,6,4,3,4,5,3,2,3,0,5,2,6,5,2,1,3,2,1,1,5,1,6,5,2
22,1,4,4,4,2,3,2,6,9,4,9,8,5,7,5,3,4,6,3,2,3,0,5,2,6,5,1,1,3,2,3,1,5,1,6,5
23,2,1,3,4,5,2,4,4,7,9,6,10,8,6,7,5,4,3,6,3,2,3,2,5,2,7,5,1,1,3,2,3,3,5,1,7
24,2,2,1,3,5,5,5,4,5,7,11,6,9,8,5,8,4,5,3,7,3,2,3,3,2,2,6,6,1,2,2,2,3,3,3,2
25,2,1,2,1,4,4,6,4,4,3,8,11,6,8,8,6,5,4,4,4,8,3,3,1,4,2,2,6,6,1,8,2,3,2,3,2
26,5,3,2,4,0,3,5,5,4,5,3,6,10,6,8,7,7,5,5,4,4,8,5,3,2,2,2,1,5,6,4,8,3,3,3,1
