ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,6,6,8,5,5,7,3,4,5,6,2,5,5,5,6,3,2,3,3,5,2,1,5,1,3,3,1,6,1,1,2,1,5,2,3,3
1,3,5,6,9,6,5,6,2,4,4,7,1,5,4,5,6,4,2,3,4,5,1,1,5,1,4,3,0,7,2,5,1,1,5,2,3
2,6,5,5,6,9,6,5,6,2,4,4,7,1,4,4,5,5,4,3,5,3,5,1,2,5,2,4,3,0,7,3,5,1,2,5,2
3,2,6,7,4,7,9,6,4,6,2,4,4,7,2,4,4,5,5,4,3,5,3,6,1,3,5,2,4,3,0,5,3,6,1,3,5
4,4,2,7,8,5,6,8,8,3,6,2,4,4,5,2,4,4,5,5,4,2,5,3,6,1,3,5,2,4,3,2,5,3,6,1,3
5,4,4,1,6,8,4,7,8,7,3,5,1,4,4,5,2,4,4,6,6,4,2,5,2,6,0,2,5,2,3,4,2,5,2,6,0
6,4,4,5,1,6,8,4,7,7,7,3,5,1,3,4,4,2,3,4,7,6,3,2,4,2,6,1,2,5,2,6,3,2,3,2,6
7,7,4,4,7,3,6,9,6,6,7,7,3,5,1,4,4,3,2,2,4,7,6,3,2,4,2,6,0,2,6,7,6,3,2,3,2
8,4,7,4,4,6,3,6,8,5,6,8,6,3,5,0,4,5,3,2,2,4,7,8,3,2,4,2,6,0,2,4,7,7,3,2,3
9,4,3,8,6,4,6,4,6,7,5,6,8,5,3,5,0,4,5,4,2,3,4,7,7,3,2,4,2,6,0,3,4,7,6,3,2
10,6,3,3,11,5,2,6,4,7,7,5,6,8,5,3,5,0,3,5,4,2,3,4,8,7,3,2,4,2,6,2,3,4,7,6,3
11,3,8,3,3,10,4,3,6,4,6,5,5,6,7,5,3,6,0,3,5,4,1,3,4,8,7,3,2,4,2,6,1,3,4,6,6
12,7,4,8,3,3,10,4,3,6,4,7,5,3,6,7,8,3,6,0,3,5,4,1,4,5,8,7,3,2,3,5,6,1,3,5,7
13,6,8,3,8,4,3,10,4,3,6,5,7,5,4,6,7,8,3,6,1,3,5,4,1,4,5,8,6,3,2,2,5,6,1,3,5
14,8,6,8,3,7,4,3,10,4,3,6,5,7,7,4,5,8,8,4,6,0,3,5,4,1,4,5,7,6,3,0,2,5,6,1,3
15,6,8,5,8,2,7,4,3,9,4,3,6,5,7,6,5,5,8,8,4,5,0,3,5,6,2,4,5,7,6,6,0,2,5,7,2
16,5,7,8,4,8,2,7,5,3,10,4,3,6,5,6,6,5,5,8,8,4,4,0,3,5,6,2,4,5,6,4,5,0,2,5,7
17,10,4,7,8,4,8,2,6,4,3,11,4,3,8,5,6,5,5,5,8,8,4,5,0,4,6,6,2,4,5,7,4,6,0,3,6
18,4,10,4,6,8,4,8,1,6,4,4,11,4,3,8,5,7,6,7,5,8,8,4,5,0,4,6,6,1,3,7,7,4,6,0,3
19,3,3,10,5,6,8,4,8,1,6,7,4,11,4,5,7,5,7,6,8,5,8,8,4,5,0,3,6,6,1,6,7,7,4,6,0
