ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,21,18,20,10,10,13,22,13,15,11,18,19,16,12,18,17,12,26,32,28,15,21,25,21,23,25,17,21,20,23,15,21,25,22,22,23
1,13,21,19,19,10,9,13,21,13,14,11,19,20,18,13,19,16,12,25,29,28,14,20,25,22,22,23,15,23,19,28,14,19,26,23,22
2,18,11,22,18,19,12,9,13,22,12,15,11,19,19,19,14,17,17,12,24,29,27,15,20,25,22,21,27,17,22,29,28,14,20,26,22
3,19,16,11,20,21,21,11,11,14,23,12,15,12,19,19,16,14,16,16,11,24,30,26,15,19,29,22,26,25,16,22,30,27,14,19,29
4,16,20,16,11,22,20,22,10,11,15,22,11,15,12,20,19,17,14,16,16,11,24,34,25,16,21,30,21,26,28,9,22,35,25,14,20
5,25,17,22,17,12,23,19,22,10,11,15,23,11,15,12,20,20,18,15,16,18,11,24,34,25,15,21,31,23,29,19,10,22,34,26,14
6,25,25,17,20,17,12,24,20,22,9,10,14,22,10,15,13,21,21,18,15,14,18,11,24,34,26,15,24,31,22,13,21,10,23,34,26
7,19,24,24,17,22,17,13,25,21,22,10,12,14,22,10,16,12,20,22,17,16,15,18,12,24,33,26,15,23,30,16,14,21,12,23,32
8,25,19,24,25,18,22,17,15,26,22,21,10,12,14,24,13,16,12,20,21,18,16,14,18,11,26,33,27,16,25,20,16,14,21,12,25
9,17,24,20,25,25,18,22,18,15,25,23,21,11,11,15,25,13,17,12,20,21,19,17,16,19,14,26,33,27,15,21,20,16,15,20,15
10,21,20,25,21,24,25,18,22,17,14,26,22,21,11,11,15,25,13,17,12,21,21,19,18,17,20,10,25,32,26,21,21,20,17,16,21
11,30,21,19,25,23,25,24,18,22,17,15,26,23,21,11,12,17,25,13,19,12,20,21,20,16,18,20,10,26,33,13,19,21,21,15,17
12,36,30,21,19,26,22,24,24,18,22,18,16,27,23,21,11,12,17,26,13,19,12,19,21,18,15,19,23,11,25,19,13,20,21,20,14
13,17,36,30,21,19,25,20,24,25,19,21,19,17,27,23,22,11,12,17,28,14,19,13,21,21,18,16,19,24,11,14,18,13,22,21,20
14,26,19,38,31,21,19,25,20,26,25,20,21,18,19,27,23,22,11,11,17,26,14,18,13,24,19,17,15,19,25,27,15,18,13,25,20
15,30,27,21,37,31,23,19,26,20,25,26,20,22,17,19,27,23,22,11,11,16,27,12,18,16,26,19,19,14,18,15,28,13,18,15,26
16,25,30,27,20,37,31,21,19,26,20,27,26,19,22,17,19,27,23,23,13,12,16,27,12,19,15,24,20,20,14,11,16,29,12,19,14
17,29,25,31,27,19,36,30,21,20,26,21,27,26,18,22,17,19,30,24,23,13,13,16,30,13,17,15,25,20,22,11,12,16,33,12,18
18,22,30,25,30,26,18,36,30,21,19,28,21,27,26,18,21,17,19,31,23,23,12,13,16,32,13,16,13,26,20,23,11,12,16,34,12
19,24,22,30,24,28,26,17,36,31,22,21,28,21,27,26,19,22,17,19,32,26,23,12,15,16,31,13,16,13,26,27,23,11,12,16,33
20,18,23,25,30,24,31,27,18,37,31,23,21,30,21,27,27,21,22,18,19,33,27,23,12,17,15,31,12,18,13,32,28,23,12,14,15
21,25,18,22,24,29,25,30,27,17,39,30,22,21,30,22,28,27,20,24,18,20,33,28,21,14,16,16,26,12,20,19,33,29,22,14,13
22,26,25,20,22,25,31,26,30,27,18,42,31,25,22,32,22,28,25,19,23,17,19,32,25,21,12,16,19,27,13,16,18,33,28,23,12
23,24,26,27,21,25,26,32,26,30,27,21,44,31,26,23,31,22,29,30,22,24,17,20,32,24,19,14,14,20,31,24,17,20,35,26,22
24,24,24,29,28,19,28,26,32,28,31,25,24,41,32,24,25,32,23,30,29,23,24,21,19,29,23,20,14,15,21,22,23,20,21,34,25
25,23,23,24,27,29,19,28,29,29,27,35,26,25,41,32,22,26,31,23,28,33,25,21,24,20,26,22,25,15,14,32,26,22,22,21,29
26,26,21,22,25,24,28,19,29,27,31,28,35,29,27,40,33,26,26,33,27,29,33,30,27,25,21,24,25,25,13,30,33,28,27,23,22
27,24,24,19,23,27,25,27,20,32,27,32,28,36,30,28,39,32,28,25,33,28,33,36,29,28,25,23,26,26,25,26,31,37,29,28,24
28,30,25,28,18,22,26,27,26,21,33,26,32,29,33,36,27,40,38,28,27,38,28,37,39,29,23,22,26,27,28,36,29,35,37,28,24
29,25,30,23,27,19,20,28,26,32,22,36,25,31,30,33,32,30,38,36,26,22,42,25,30,43,26,23,29,24,31,25,41,27,29,41,28
30,23,26,29,22,24,21,18,28,23,32,21,37,25,30,32,35,34,32,38,36,28,22,42,25,32,43,26,27,29,26,28,23,39,27,32,40
31,21,23,27,31,22,23,22,16,30,21,30,23,36,26,30,35,35,33,31,38,36,30,26,40,25,32,40,25,26,30,34,29,24,36,26,34
32,32,23,20,25,30,21,23,21,14,33,21,31,25,37,26,30,35,35,34,34,43,39,28,30,39,27,32,36,24,27,45,39,28,32,39,29
33,27,30,19,19,25,31,21,25,21,15,33,21,29,26,38,29,31,34,36,35,33,42,40,28,29,40,26,33,31,28,36,45,38,28,29,42
34,31,28,30,19,20,25,31,20,24,22,15,35,24,32,27,37,29,31,35,34,36,37,45,44,27,29,42,28,30,34,36,40,47,38,27,30
35,23,33,30,31,21,21,27,32,19,25,23,15,35,23,32,28,35,29,33,38,34,38,40,42,41,26,30,39,27,35,34,36,43,45,36,28
36,17,23,35,29,30,23,20,27,31,19,26,23,15,34,23,31,28,34,32,32,36,34,39,39,43,42,28,31,40,25,37,36,39,42,47,40
